Name of Plant,Scientific Name,Family,Related Database,Therapeutic Use,Tissue & Part,Preparation Method,NE State Availability,Phytochemical(s),Phytochemical Reference,Literature Reference
Sohma,Rhus semialata,ÊAnacardiaceae,North-East India Medicinal Plants Database,"Diarrhoea
Dysentery
Stomachache",Fruit,Taken orally,Meghalaya,"$-n-butyl ether of 11-Epi-Dihydroartemisin
(Z)6,(Z)9-Pentadecadien-1-ol
1-Aminoinosine
1-Octadecyne
13-Tetradece-11-Yn-1-ol
19,19-Dimethyl_Eicosa-8,11-Dienoic acid
2-Octylcyclopropene-1-Heptanol
20-Dien Methyl Ether
4H-1,3,2-Dioxaborin, 6-Ethenyl-2Ethyl-4-Methyl-4-(2-methylpropyl)-
6,7-Epoxypregn-4-Ene-9,11,18-Triol-3,20-Dione, 11,18-Acetate
9, 19-Cyclolanostan-3-Ol, Acetate, (3. _)-
9-Eicosyne
Anethole
Bis(2-ethylhexyl) phthalate
Cyclohexane, 1-(1,5-Dimethylhexyl)-4-(4-Methylpentyl)-
Decane
Di-n-octyl phthalate
Diisooctyl phthalate
Estragole
Isobutyl nonyl ester
N- Decanoic acid
N-Hexadecanoic acid
Octadecanoic acid
Oxalic acid
Pentadecanoic acid
Phenol,2,4-Bis (1,1-Dimethylethyl)-
Pseduosarsasapogenin-5
Squalene
Supraene
Tridecane
Undecane
_-Sitosterol
_-Sitosterol Acetate","Sreedharan, S; et al. Bioactive molecules and antimicrobial studies of Indian traditional medicinal plant Rhus semialata seeds. Research Journal of Medicinal Plant 13.1: 10-17, 2019.
","Kayang. H; et al. Medicinal Plants of Khasi Hills of Meghalaya, India, Bioprospecting & Ethnopharmacology, 1, 75-80, 2005."
Amgoch,Mangifera indica,Anacardiaceae,North-East India Medicinal Plants Database,"Asthma
Diarrhoea
Toothache",Root,Extract taken orally,Assam,"1,3,6-tri-O-galloyl-beta-D-glucose
25-Triol
3_-cycloartane-3,29-diol
Benzophenones [3-glucosylmaclurin
Catechin
Cycloart-25-Ene-3,24,27-Triol
Cycloartane-3,24,25-Triol
Derivative of Theogallin
Ellagic Acid
Epicatechin Gallate
Ferulic Acid Hexoside
Flavonols
Gallic Acid
Gallotannins Digalloyl Glucoside
Hyperin
Iriflophenone 3-C-_-D-glucopyranoside
Iriflophenone Glucoside Derivative]
Iriflophenone Tri-O-Galloylglucoside
Iriflophenone-Di-O-Galloyl Glucoside
Isomangiferin
Isoquercitin
Kaempferol 3-O-Rutinoside
Kainic Acid
Lupeol
Maclurin
Maclurin 3-C-(60 -O-phydroxybenzoyl) _-D-glucoside
Maclurin 3-C-(6Ó-O-p-hydroxybenzoyl)_-D-glucoside
Maclurin 3-C-_-D-glucoside
Maclurin Mono-O-Galloylglucoside
Maclurin di-O-galloylglucoside
Mangiferin 3-Methyl Ether
Mangiferin-60 -O-Gallate
Mangiferonic Acid
Manglanostenoic Acid
Methyl Gallate
Norathyriol
Pentagalloyl Glucose
Phenolic Compounds
Protacatechuic Acid
Protocatechuic Acid
Quercetin
Quercetin 3-O-Rhamnoside
Quercetin 3-O-glucoside
Quercetin carboxylic acid
Quercetin pentoside
Rhamnetin
Rhamnetin Hexoside)
Shikimic Acid
Sodium Gallate
Terpenoids (3,27-dihydroxycycloart-24-en-26-oic acid
Tetra-O-Galloyl Glucoside
Tetrahydroxy Sodium Benzoate)
Theogallin
Xanthones (Mangiferin","Maldonado-Celis, M, E; et al. Chemical composition of mango (Mangifera indica L.) fruit: Nutritional and phytochemical compounds. Frontiers in plant science 10: 1073, 2019.","Shankar.R; et al. Medicinal plants used in traditional medicine in Mizoram, World Journal of Science and Technology, 2(12):42-45, 2012."
Bhakimlo,Rhus semialata,Anacardiaceae,North-East India Medicinal Plants Database,"Diarrhoea
Dysentery
Stomachache",Fruit:,taken orally,Sikkim,"$-n-butyl ether of 11-Epi-Dihydroartemisin
(Z)6,(Z)9-Pentadecadien-1-ol
1-Aminoinosine
1-Octadecyne
13-Tetradece-11-Yn-1-ol
19,19-Dimethyl_Eicosa-8,11-Dienoic acid
2-Octylcyclopropene-1-Heptanol
20-Dien Methyl Ether
4H-1,3,2-Dioxaborin, 6-Ethenyl-2Ethyl-4-Methyl-4-(2-methylpropyl)-
6,7-Epoxypregn-4-Ene-9,11,18-Triol-3,20-Dione, 11,18-Acetate
9, 19-Cyclolanostan-3-Ol, Acetate, (3. _)-
9-Eicosyne
Anethole
Bis(2-ethylhexyl) phthalate
Cyclohexane, 1-(1,5-Dimethylhexyl)-4-(4-Methylpentyl)-
Decane
Di-n-octyl phthalate
Diisooctyl phthalate
Estragole
Isobutyl nonyl ester
N- Decanoic acid
N-Hexadecanoic acid
Octadecanoic acid
Oxalic acid
Pentadecanoic acid
Phenol,2,4-Bis (1,1-Dimethylethyl)-
Pseduosarsasapogenin-5
Squalene
Supraene
Tridecane
Undecane
_-Sitosterol
_-Sitosterol Acetate","Sreedharan, S; et al. Bioactive molecules and antimicrobial studies of Indian traditional medicinal plant Rhus semialata seeds. Research Journal of Medicinal Plant 13.1: 10-17, 2019.
","Kayang. H; et al. Medicinal Plants of Khasi Hills of Meghalaya, India, Bioprospecting & Ethnopharmacology, 1, 75-80, 2005.
"
Heining,Sapondius pinnata,Anacardiaceae,North-East India Medicinal Plants Database,Boils,Fruit,Extract applied topically,Manipur,"6-hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid
Alanine
Campesterol
Catechin
Chlorogenic Acid
Cycloartanone-24 Methylene
Cysteine
Daucosterol
Ellagic Acid
Ellagitosinoic Acid
Fatty Acids
Flavonoids
Furfural
Gallic Acid
Glycine
Lellagitosinsin Gallon
Lellocitgerinsin Gallon
Lellocitosino
Lellocitosinsin Gallon
Leucine
Lignoceric Acid
Myricetin
Oleanolic acid
Phytosterol
Polysaccharides
Quercetin
Routine
Salicylic Acid
Serine
Sterol
Vitamin E
p-Coumaric Acid
_-Amyrin
_-carotene","Laksemi, D. A. S; Biological activity of Spondias pinnata: a review. Indones J Biomed Sci 13: 88-93, 2019.
","Rajkumari. R; et al. Ethnobotanical investigation of wild edible and medicinal plants used by the Chiru Tribe of Manipur, India, Pleione 7(1): 167 - 174. 2013."
mezunglashi (Ao),Spondius mangifera,,North-East India Medicinal Plants Database,Foot and toe infection,leaves,Paste applied topically,Nagaland,,,"Kichu, M; et al. An ethnobotanical study of medicinal plants of Chungtia village, Nagaland, India.ÊJournal of Ethnopharmacology,Ê166, 5-17, 2015."
Arthladawnpui,Angiopteris evecta,Angiopteridaceae,North-East India Medicinal Plants Database,Bone fracture,Root,Paste applied topically,Mizoram,,,"Rai. P. K; Lalramnghinglova. H; Lesser known ethnomedicinal plants of Mizoram, North East India: An Indo-Burma hotspot region, Journal of Medicinal Plants Research Vol. 4(13), 1301-1307, 2010"
Leikham,Goniothalamus sesquipedalis,Annonacea,North-East India Medicinal Plants Database,abortifacient,Leaves,Decoction applied topically,Manipur,"Aristololactam A-II
Aurantiamide Acetate
Gopedaline
Taliscanine
_-D-glucoside
_-Sitosterol","Aslam, M, S; Goniothalamus: Phytochemical and ethnobotanical review. Recent Adv Biol Med 2: 848, 2016.
","Meetei. S. Y; Singh. P. K; Survey for Medicinal Plants of Thoubal District, Manipur. Flora and Fauna 13 (2) 355-358, 2007."
mongmong (Ao),Polyalthia longifolia,Annonaceae,North-East India Medicinal Plants Database,"Flatulence
Helminthiasis",Leaves,Decoction taken orally,Nagaland,"3beta-Hydroxy-20(29)-lupene
AC1L1UKB
Aporphine
Azafluorene
Kolavenic acid
Liriodenine
Oxoxylopine
Phytosterols
Polyalthialdoic acid
Suberosol
alpha.-Amyrin
celastrol
_-Amyrin","Mohanraj, K; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 8:4329, 2018.
","Kichu, M; et al. An ethnobotanical study of medicinal plants of Chungtia village, Nagaland, India.ÊJournal of Ethnopharmacology,Ê166, 5-17, 2015"
Zunindamdawi,Desmos chinensis,Annonaceae,North-East India Medicinal Plants Database,Urinary disorder,Root,Decoction taken orally,Mizoram,"1,8-Cineolee
29,49-Dihydroxy-39-(2,6-dihydroxybenzyl)-69-methoxy-chalcone
A-Copaene
A-Humulene
A-Pinene
B-Caryophyllene
B-Pinene
Benzaldehyde
Benzyl Benzoate
Caryophyllene Oxide
Cis-3-Hexenyl Benzoate
Limonene
Myrcene
isouvaretin
uvaretin","Ramesh, N; et al. Phytochemical and antimicrobial studies on Drynaria quercifolia. Fitoterapia 72.8: 934-936, 2001.

 ","Rai. P. K; Lalramnghinglova. H; Lesser known ethnomedicinal plants of Mizoram, North East India: An Indo-Burma hotspot region, Journal of Medicinal Plants Research Vol. 4(13), 1301-1307, 2010"
Uikeh,Pimpinella hastata,Apiaceae,North-East India Medicinal Plants Database,"
Hypertension
Stomachache",Whole plant,Extract taken orally,Manipur,,,"Rajkumari. R; et al. Ethnobotanical investigation of wild edible and medicinal plants used by the Chiru Tribe of Manipur, India, Pleione 7(1): 167 - 174. 2013"
Golpatta,Hydrocotyle asiatica,Apiaceae,North-East India Medicinal Plants Database,Hypertension,Stem,Paste taken orally,Sikkim,,,"Idrisi. M. S; et al. Indigenous knowledge and medicinal use of plants by local communities in Rangit Valley, South Sikkim, India, NeBIO Vol. 1(2), 34-45 , 2010."
Chimphing,Heracleum wallichii,Apiaceae,North-East India Medicinal Plants Database,Influenza,Fruit,Taken orally,,,,"Idrisi. M. S; et al. Indigenous knowledge and medicinal use of plants by local communities in Rangit Valley, South Sikkim, India, NeBIO Vol. 1(2), 34-45 , 2010."
Bahkhawr,Eryngium foetidum,Apiaceae,North-East India Medicinal Plants Database,"
Analgesic
Antidote in Scorpion sting
Arthritis
Diabetes
Dysentery
Fever
Headache
Hypertension",Fruit,Decoction taken orally,Mizoram,"
2,4,5-Trimethylbenzaldehyde
2-Dodecenal
3- Dodecenal
Carotol
Riboflavin
Terpinene","Perme, N; et al., Medicinal plants in traditional use at Arunachal Pradesh, India. International Journal of Phytopharmacy 5.5: 86-98, 2015.

 ","Shankar.R; et al. Medicinal plants used in traditional medicine in Mizoram, World Journal of Science and Technology, 2(12):42-45, 2012."
Sarpagandha,Rauvolfia serpentine,Apocynaceae,North-East India Medicinal Plants Database,"Constipation
Epilepsy
Liver disorders
Schizophrenia",Root,Extract taken orally,Arunachal Pradesh,"Ajmaline
Aricine
Corynanthine
Deserpidine
Isoreserpine
Rescinnamine
Reserpiline
Reserpine
Serpentine","Perme, N; et al., Medicinal plants in traditional use at Arunachal Pradesh, India. International Journal of Phytopharmacy 5.5: 86-98, 2015.

 ",Perme. N; et al. Medicinal Plants in Traditional Use at Arunachal Pradesh; India; International Journal of Phytopharmacy; Vol. 5 (5); 86-98; 2015.
Theikelkibawr,Parbarium hookerii,Apocynaceae,North-East India Medicinal Plants Database,placental disorders,Root,Decoction taken orally,Mizoram,,,"Rai. P. K; Lalramnghinglova. H; Lesser known ethnomedicinal plants of Mizoram, North East India: An Indo-Burma hotspot region, Journal of Medicinal Plants Research Vol. 4(13), 1301-1307, 2010
"
Êkurchi,Holarrhena antidysenterica,Apocynaceae,North-East India Medicinal Plants Database,"Diarrhoea
Diarrhoea
Dysentery",Bark,ÊTaken orally,Tripura,"(20),-N-Methylholarrhimine
(3),-N-Methylholarrhimine
3a-Amino-conan-5-ene
7a-Hydroxyconessine
Antidysentericine
Conamine
Conarrhimine
Conessidine
Conessimine/Isoconessimine
Conessine
Conimine
Conkurchine
Conkurchinine
Dihydroisoconessimine
Holacetine
Holacine
Holadiene
Holadysenterine
Holadysone
Holafrine
Holantosine-A
Holantosine-B
Holantosine-C
Holantosine-D
Holantosine-E
Holantosine-F
Holar-rhessimine
Holarosine A
Holarosine B
Holarrhenine
Holarrhidine
Holarrhimine/Kurchicine
Holarrhine
Holarricine
Holarrifine
Holonamine
Isoconessine
Kurchaline
Kurchamide
Kurchamine
Kurchenine
Kurchessine
Kurchilidine
Kurchimine
Kurchinidine
Kurchinine
Kurchiphyllamine
Kurchiphylline
Kurcholessine
Lettocine
NNNÕN0-Tetra-methylholarrhimine
Neoconessine (isomerof conessine)
Norholadiene
Pubadysone
Pubamide
Pubescimine
Pubescine
Puboestrene
Regholarrhenine
Regholarrhenine B
Regholarrhenine C
Regholarrhenine D
Regholarrhenine E
Regholarrhenine F
Trimethyl conkurchine","Sinha, S; et al. Evaluation of phytochemical and pharmacological aspects of Holarrhena antidysenterica (Wall.): A comprehensive review. Journal of pharmacy research 6.4: 488-492, 2013.
","Debbarma. M; et al.Traditional Knowledge Of Medicinal Plants In Tribes Of Tripura In Northeast, India, Afr J Tradit Complement Altern Med., 14 (4): 156-168, 2017."
Santujri-so,Cataranthus roseus,Apocynaceae,North-East India Medicinal Plants Database,"Diabetes
Hypertension",Flower,Taken orally,Assam,"
Ajmalicine
Apigenin
Catharanthine
Catharanthine
Cyclo Spermidine And Hexadecanoic Acid
Cyclohexanetetrol
Gallic Acid
Horhammericine
Hydroxymethyl
Kaempferol
Leurosine
Lochnerine
Phenolics
Pyran
Reserpine
Saponins
Serpentine
Tabersonine
Vinblastine
Vincristine
Vindoline
Vindoline","Das, A; et al. Biotechnological advancements in Catharanthus roseus (L.) G. Don. Applied microbiology and biotechnology 104.11 2020: 4811-4835.

 ","Sajem. A. L; Gosai. K; Traditional use of medicinal plants by the Jaintia tribes in North Cachar Hills district of Assam, northeast India, Journal of Ethnobiology and Ethnomedicine, 2:33, 2006."
Singar,Alstonia scholaris,Apocynaceae,North-East India Medicinal Plants Database,"Asthma
Jaundice
Malarial Fever
Piles
skin disease",Flower,Extract taken orally,Arunachal Pradesh,"Alkaloid
Echitenine
Flavonoids
Proanthocyanidin
echitamine","Bhadane, B, S; et al. Ethnopharmacology, phytochemistry, and biotechnological advances of family Apocynaceae: A review. Phytotherapy research 32.7: 1181-1210, 2018.
",Tangjanga. S; et al. An ethnobotanical survey of medicinal plants in the Eastern Himalayan zone of Arunachal Pradesh; India; Journal of Ethnopharmacology 134; 18Ð25; 2011.
Kathanaphool,Tabernaemontana divaricata,Apocynaceae,North-East India Medicinal Plants Database,"cavity formation
Piles",Shoot,Taken orally,Assam,"15_ Methyl Ester
9Z,12Z_ octadecadienoic acid
Calycosin
Conolabine A
Conolabine B
Conophyllidine
Conophylline
Eicosanoic acid
Ellagic acid
Farnisin
Formononetin
Hexadecanoic acid
Hyperoside
Lirofolines A
Octadecanoic acid
Tabernaemontanine
Taraxasterol Acetate
Vallesamine
Voacangine
Voacristine
Vobasine
_-amyrin
_-amyrin Acetate","Bhadane, B, S; et al. Ethnopharmacology, phytochemistry, and biotechnological advances of family Apocynaceae: A review. Phytotherapy research 32.7: 1181-1210, 2018.
","Purkayatha.J; et al. Ethnobotany of medicinal plants from Dibru-Saikhowa Biosphere Reserve of Northeast India, Fitoterapia 76, 121 Ð 127, 2005."
Thanhtup,Phoenix sylvestris,Aracaceae,North-East India Medicinal Plants Database,"Diarrhoea
Dysentery",Fruit,ÊTaken orally,Manipur,"
(1E)-1-Propene-1,2,3-tricarboxylic acid
(1S,3R,4Sm5R)-1,3,4,5- Tetrahydroxycyclohexanecarboxylic acid
(2E)-3-(3,4-Dihydroxyphenyl)acrylic acid
(2R,3R)-2-(3,4-Dihydroxyphenyl)-3,5,7- - - trihydroxy-2,3-dihydrochromen-4-one.
(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol
(3R,4S,5R)-3,4,5-Trihydroxy-1-cyclohexene-1- carboxylic acid
(9Z)-9-Octadecenoic acid
(9z,12z)-9,12-Octadecadienoic acid
(E)-Butenedioic acid
1,2-Dihydroxy-9,10-anthracenedione
1-Hydroxy-2-naphthoic acid
2,3-Dihydroxybenzoic acid
2,3-Dihydroxypropionic acid
2-Amino-3-methoxybenzoic acid
2-Hydroxybutanoic acid
2-Hydroxyethanoic acid
2-Hydroxypropanoic acid
2-hydroxy-2-methylbutanedioic acid
2-hydroxybutanedioic acid
3,4-Dihydroxybenzoic acid
3,4-Dihydroxyphenyl acetic acid
3-Methoxy-4-hydroxycinnamic acid
4- (Diaminomethylideneamino) butanoic acid
4-Hydroxy-3-methoxybenzoic acid
4-Hydroxybenzoic acid
4-Hydroxycinnamic acid
Benzenedicarboxylicacid
Benzoic acid
Butanedioic acid
D-Gluconic acid
Decanoic acid
Docosanoic acid
Dodecanoic acid
Ethanedioic acid
Heptadecanoic acid
Heptanedioic acid
Hexadecanoic acid
Hexanedioic acid
Icosanoic acid
Maleic acid
Octadecanoic acid
Octanoic acid
Piceatannol
Propanedioic acid
Tetradecanoic acid
Trihydroxidooxidophosphorus phosphoric acid","Das, S; et al. Metabolite profiling, antioxidant activity, and glycosidase inhibition property of the mesocarp tissue extracts of sugar date palm [Phoenix sylvestris (L.) Roxb.] fruits. International journal of food properties 20.12: 2982-2993, 2017.
","Rajkumari. R; et al. Ethnobotanical investigation of wild edible and medicinal plants used by the Chiru Tribe of Manipur, India, Pleione 7(1): 167 - 174. 2013."
Thiallawn,Raphidophora hookeri,ÊAraceae,North-East India Medicinal Plants Database,Child birth,Stem,Extract taken orally,Mizoram,,,"Rai. P. K; Lalramnghinglova. H; Lesser known ethnomedicinal plants of Mizoram, North East India: An Indo-Burma hotspot region, Journal of Medicinal Plants Research Vol. 4(13), 1301-1307, 2010"
Cheng mara,Lasia spinosa,ÊAraceae,North-East India Medicinal Plants Database,Piles,Rhizome,Decoction taken orally,Assam,,,"Purkayatha.J; et al. Ethnobotany of medicinal plants from Dibru-Saikhowa Biosphere Reserve of Northeast India, Fitoterapia 76, 121 Ð 127, 2005."
Kuchugundubi,Homalomema aromatic,ÊAraceae,North-East India Medicinal Plants Database,"Asthma
Cough/Cold",Stem,Taken orally,Tripura,"
(E)- _-Ocimene
(z)-_-Ocimene
1, 2-dimethylbenzene
4-terpineol
7-octadiene-2,6-diol-2,6-dimcthyl
Bullatantriol
Camphene
Car-3-en-2-one
Carvone
Caryophyllene oxide
Cryptone
Cuminaldehyde
Cuminol
Dihydrocuminaldehyde
Eucarvone
Geraniol
Hexadecanoic acid
Homalomenol A
Humulene epoxide II
Ledol
Limonene
Linalool
Linalyl Acetate
M-cymene
Myrcene
Nerol
Neryl Acetate
Oplodiol
Oplopanone
Phellandral
Piperitone
Sabinene
Spathulenol
T-cadinol
T-muurolol
Terpenolene
Terpinen-4-ol
Terpinolene
Viridiflorol
allo-aromadendrene
cis-Linalool oxide
cis-p-menth-2-en,1-ol
epi-_-cadinol
l_, 4_, 7_-trihydroxyeudesmane
p-cymen-8-ol
p-cymene
p-menth-2-en-1-ol
trans-Linalool oxide
trans-p-Menth-2-en-1-ol
_-Cadinene
_-Cadinol
_-Calacorene
_-Humulene
_-Phellandrene
_-Pinene
_-Selinene
_-Terpinene
_-Terpinene
_-Terpineol
_-Thujene
_-muurolene
_-terpinolene
_Ðmethyl-_Ð(4-methyl- 3-pentenyl}-oriranemethanol
_-caryophyllene
_-phellandrene
_-pinene
_ -Muurolene
_-Terpinene
_-cadinene
_ Ðcadinene
_-3-carene","Kehie, P; Neli L, P; Phytochemical and ethnopharmacological overview of endangered Homalomena aromatica Schott: An aromatic medicinal herb of Northeast India. Indian Journal of Natural Products and Resources (IJNPR)[Formerly Natural Product Radiance (NPR)] 8.1: 18-31, 2017.
","Debbarma. M; et al.Traditional Knowledge Of Medicinal Plants In Tribes Of Tripura In Northeast, India, Afr J Tradit Complement Altern Med., 14 (4): 156-168, 2017."
Yichi,Colocasia esculenta,ÊAraceae,North-East India Medicinal Plants Database,"Allergy
Rheumatism
Rickets",Tuber,Dried powder taken orally,Arunachal Pradesh,"Anthocyanins
Apigenin
Luteolin
Minerals
Sitosterol
Starch
Steroids","Perme, N; et al., Medicinal plants in traditional use at Arunachal Pradesh, India. International Journal of Phytopharmacy 5.5: 86-98, 2015.

 ",Tangjanga. S; et al. An ethnobotanical survey of medicinal plants in the Eastern Himalayan zone of Arunachal Pradesh; India; Journal of Ethnopharmacology 134; 18Ð25; 2011.
Wang-yong,Arum dioscoridis,ÊAraceae,North-East India Medicinal Plants Database,Boils,Stem,Paste applied topically,Assam,,,"Sajem. A. L; Gosai. K; Traditional use of medicinal plants by the Jaintia tribes in North Cachar Hills district of Assam, northeast India, Journal of Ethnobiology and Ethnomedicine, 2:33, 2006."
ÊBiram sing,Arisaema consanguineum,ÊAraceae,North-East India Medicinal Plants Database,arrow poisioning,Rhizome,Paste applied topically,Arunachal Pradesh,"
Aspartic Acid
Histidine
Isoleucine
Leucine
Phenylalanine
Saponins
Valine","Perme, N; et al., Medicinal plants in traditional use at Arunachal Pradesh, India. International Journal of Phytopharmacy 5.5: 86-98, 2015.

 ",Perme. N; et al. Medicinal Plants in Traditional Use at Arunachal Pradesh; India; International Journal of Phytopharmacy; Vol. 5 (5); 86-98; 2015.
Êshitsu nupang (Ao),Amorphophallus campanulatus,ÊAraceae,North-East India Medicinal Plants Database,Helminthiasis,stalk,Taken orally,Nagaland,,,"Kichu, M; et al. An ethnobotanical study of medicinal plants of Chungtia village, Nagaland, India.ÊJournal of Ethnopharmacology,Ê166,"
Gingseng (Angami),Panax pseudo,Araliaceae,North-East India Medicinal Plants Database,Bodyache,Rhizome,Decoction taken orally,Nagaland,"
14-hydroxy-heneicosanoic acid
Betulic acid
CHEMBL507688
Chikusetsu Saponin V
Chikusetsusaponin IVc
Ginsenoside Rb1
Ginsenoside Rb2
Ginsenoside Rc
Ginsenoside Rh2
Malonyl
Octacosanoyl-1-Tritriacontanol
Oleanolic acid
Panaxadiol
Panaxatriol
Pseudo-ginsenoside RT
Pseudoginsenoside F11
majonoside-R2","Mohanraj, K; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 8:4329, 2018.
","Chase. P.E; Singh. O.P. Ethnomedicinal plants used by Angami tribe of Nagaland, India. Indian Journal of Tropical Biodiversity. (1):29-42, 2013."
Kotabell,Aralia montana,Araliaceae,North-East India Medicinal Plants Database,Malarial Fever,Leaves,Decoction taken orally,Mizoram,,,"Shankar.R; et al. Medicinal plants used in traditional medicine in Mizoram, World Journal of Science and Technology, 2(12):42-45, 2012."
Kawhtebel,Trevetia palmate,,North-East India Medicinal Plants Database,"Colic
Hypertension
Stomachache",Leaves,Extract taken orally,Mizoram,,,"Rai. P. K; Lalramnghinglova. H; Lesser known ethnomedicinal plants of Mizoram, North East India: An Indo-Burma hotspot region, Journal of Medicinal Plants Research Vol. 4(13), 1301-1307, 2010"
Taal,Borassus flabellifer,Arecaceae,North-East India Medicinal Plants Database,"Dysentery
Gonorrhea",Leaves,Taken orally,Tripura,"
CID 19017319
Galactomannan
Mannan
Methanol
Nicotinamide
Pectin
Riboflavin","Mohanraj, K; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 8:4329, 2018.
","Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014."
Mame phul,Hemidesmus indicus,ÊAsclepiadaceae,North-East India Medicinal Plants Database,Bone fracture,Leaves,Paste applied topically,Arunachal Pradesh,"4- methoxybenzaldehyde (2H4MB)
Hemidesminine
Lupeol
Resin acid
Tannins
_-amyrin
_-Amyrin","Swathi, S; et al. Phytochemical and pharmacological benefits of Hemidesmus indicus: an updated review. Journal of Pharmacognosy and Phytochemistry 8.1: 256-262, 2019.
",Tangjanga. S; et al. An ethnobotanical survey of medicinal plants in the Eastern Himalayan zone of Arunachal Pradesh; India; Journal of Ethnopharmacology 134; 18Ð25; 2011.
Har jora,Cryptolepis indica,ÊAsclepiadaceae,North-East India Medicinal Plants Database,Bone fracture,Whole plant,Pasre applied topically,Assam,,,"Purkayatha.J; et al. Ethnobotany of medicinal plants from Dibru-Saikhowa Biosphere Reserve of Northeast India, Fitoterapia 76, 121 Ð 127, 2005."
akanda,Calotropis gigantea,ÊAsclepiadaceae,North-East India Medicinal Plants Database,"heumatism
Sprain and swells",latex,Paste applied topically,Tripura,"Asclepin
CHEMBL233903
Calactin
Calotoxin
Calotropin
Isorhamnetin 3-O-Rutinoside
Isovaleric Acid
Patulin
Phytosterols
Taraxasterol Acetate
Uscharin
glutathione
_-Amyrin","Mohanraj, K; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 8:4329, 2018.
","Debbarma. M; et al.Traditional Knowledge Of Medicinal Plants In Tribes Of Tripura In Northeast, India, Afr J Tradit Complement Altern Med., 14 (4): 156-168, 2017."
